Geography,County,state,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
"Grant County, Indiana",Grant County, Indiana,87600,2313
"Greene County, Indiana",Greene County, Indiana,95900,4180
"Hamilton County, Indiana",Hamilton County, Indiana,240000,3233
"Hancock County, Indiana",Hancock County, Indiana,161800,2597
"Harrison County, Indiana",Harrison County, Indiana,136400,5581
"Hendricks County, Indiana",Hendricks County, Indiana,171600,3129
"Henry County, Indiana",Henry County, Indiana,94800,3402
"Howard County, Indiana",Howard County, Indiana,101300,2834
"Huntington County, Indiana",Huntington County, Indiana,102700,4819
"Jackson County, Indiana",Jackson County, Indiana,114600,4679
"Jasper County, Indiana",Jasper County, Indiana,153200,4345
"Jay County, Indiana",Jay County, Indiana,85000,2906
"Jefferson County, Indiana",Jefferson County, Indiana,120000,5911
"Jennings County, Indiana",Jennings County, Indiana,99900,5030
"Johnson County, Indiana",Johnson County, Indiana,149700,2993
"Knox County, Indiana",Knox County, Indiana,87200,5688
"Kosciusko County, Indiana",Kosciusko County, Indiana,142700,4042
"LaGrange County, Indiana",LaGrange County, Indiana,172500,8725
"Lake County, Indiana",Lake County, Indiana,140100,1644
"LaPorte County, Indiana",LaPorte County, Indiana,126700,3924
"Lawrence County, Indiana",Lawrence County, Indiana,109200,4747
"Madison County, Indiana",Madison County, Indiana,91900,1591
"Marion County, Indiana",Marion County, Indiana,123500,930
"Marshall County, Indiana",Marshall County, Indiana,130100,3863
"Martin County, Indiana",Martin County, Indiana,97900,7983
"Miami County, Indiana",Miami County, Indiana,85500,2744
"Monroe County, Indiana",Monroe County, Indiana,163900,2546
"Montgomery County, Indiana",Montgomery County, Indiana,118400,4217
"Morgan County, Indiana",Morgan County, Indiana,147200,3899
"Newton County, Indiana",Newton County, Indiana,112500,4608
"Noble County, Indiana",Noble County, Indiana,114500,4314
"Ohio County, Indiana",Ohio County, Indiana,142400,12273
"Orange County, Indiana",Orange County, Indiana,90400,4413
"Owen County, Indiana",Owen County, Indiana,110200,6785
"Parke County, Indiana",Parke County, Indiana,86700,9102
"Perry County, Indiana",Perry County, Indiana,103000,6578
"Pike County, Indiana",Pike County, Indiana,89300,7470
"Porter County, Indiana",Porter County, Indiana,173100,2388
"Posey County, Indiana",Posey County, Indiana,138800,5270
"Pulaski County, Indiana",Pulaski County, Indiana,92600,5530
"Putnam County, Indiana",Putnam County, Indiana,120300,4126
"Randolph County, Indiana",Randolph County, Indiana,79500,2836
"Ripley County, Indiana",Ripley County, Indiana,139500,6203
"Rush County, Indiana",Rush County, Indiana,100000,6123
"St. Joseph County, Indiana",St. Joseph County, Indiana,118600,2118
"Scott County, Indiana",Scott County, Indiana,98800,6021
"Shelby County, Indiana",Shelby County, Indiana,125300,5177
"Spencer County, Indiana",Spencer County, Indiana,117900,4107
"Starke County, Indiana",Starke County, Indiana,101600,4661
"Steuben County, Indiana",Steuben County, Indiana,136300,5716
"Sullivan County, Indiana",Sullivan County, Indiana,80900,4834
"Switzerland County, Indiana",Switzerland County, Indiana,114300,6795
"Tippecanoe County, Indiana",Tippecanoe County, Indiana,144300,3039
"Tipton County, Indiana",Tipton County, Indiana,110300,6361
"Union County, Indiana",Union County, Indiana,109900,9912
"Vanderburgh County, Indiana",Vanderburgh County, Indiana,121200,2754
"Vermillion County, Indiana",Vermillion County, Indiana,74600,3824
"Vigo County, Indiana",Vigo County, Indiana,90700,3133
"Wabash County, Indiana",Wabash County, Indiana,96700,2985
"Warren County, Indiana",Warren County, Indiana,112500,6009
"Warrick County, Indiana",Warrick County, Indiana,158100,3746
"Washington County, Indiana",Washington County, Indiana,106200,4772
"Wayne County, Indiana",Wayne County, Indiana,96500,2773
"Wells County, Indiana",Wells County, Indiana,121000,4183
"White County, Indiana",White County, Indiana,105800,5420
"Whitley County, Indiana",Whitley County, Indiana,131600,7102
"Adair County, Iowa",Adair County, Iowa,93200,4562
"Adams County, Iowa",Adams County, Iowa,84900,5768
"Allamakee County, Iowa",Allamakee County, Iowa,122800,7592
"Appanoose County, Iowa",Appanoose County, Iowa,78000,4181
"Audubon County, Iowa",Audubon County, Iowa,68800,4285
"Benton County, Iowa",Benton County, Iowa,147800,6899
"Black Hawk County, Iowa",Black Hawk County, Iowa,139300,2528
"Boone County, Iowa",Boone County, Iowa,130500,5227
"Bremer County, Iowa",Bremer County, Iowa,155100,4483
"Buchanan County, Iowa",Buchanan County, Iowa,132500,5024
"Buena Vista County, Iowa",Buena Vista County, Iowa,111100,6792
"Butler County, Iowa",Butler County, Iowa,112100,4037
"Calhoun County, Iowa",Calhoun County, Iowa,77800,3341
"Carroll County, Iowa",Carroll County, Iowa,127400,5498
"Cass County, Iowa",Cass County, Iowa,93600,3771
"Cedar County, Iowa",Cedar County, Iowa,143800,7227
"Cerro Gordo County, Iowa",Cerro Gordo County, Iowa,121500,4982
"Cherokee County, Iowa",Cherokee County, Iowa,89200,5557
"Chickasaw County, Iowa",Chickasaw County, Iowa,105100,6714
"Clarke County, Iowa",Clarke County, Iowa,105000,10645
"Clay County, Iowa",Clay County, Iowa,115700,5609
"Clayton County, Iowa",Clayton County, Iowa,116500,5241
"Clinton County, Iowa",Clinton County, Iowa,112400,3486
"Crawford County, Iowa",Crawford County, Iowa,93400,7304
"Dallas County, Iowa",Dallas County, Iowa,218000,5156
"Davis County, Iowa",Davis County, Iowa,109100,4962
"Decatur County, Iowa",Decatur County, Iowa,76300,5350
"Delaware County, Iowa",Delaware County, Iowa,126000,9199
"Des Moines County, Iowa",Des Moines County, Iowa,101400,4466
"Dickinson County, Iowa",Dickinson County, Iowa,175900,10109
"Dubuque County, Iowa",Dubuque County, Iowa,157200,2835
"Emmet County, Iowa",Emmet County, Iowa,85700,5594
"Fayette County, Iowa",Fayette County, Iowa,90800,3905
"Floyd County, Iowa",Floyd County, Iowa,102400,6937
"Franklin County, Iowa",Franklin County, Iowa,87100,3358
"Fremont County, Iowa",Fremont County, Iowa,100200,5292
"Greene County, Iowa",Greene County, Iowa,88900,5286
"Grundy County, Iowa",Grundy County, Iowa,129900,7409
"Guthrie County, Iowa",Guthrie County, Iowa,112600,6299
"Hamilton County, Iowa",Hamilton County, Iowa,98900,5144
"Hancock County, Iowa",Hancock County, Iowa,97600,7358
"Hardin County, Iowa",Hardin County, Iowa,91300,3962
"Harrison County, Iowa",Harrison County, Iowa,107600,5382
"Henry County, Iowa",Henry County, Iowa,107900,5526
"Howard County, Iowa",Howard County, Iowa,107700,9235
"Humboldt County, Iowa",Humboldt County, Iowa,93900,5153
"Ida County, Iowa",Ida County, Iowa,91900,6334
"Iowa County, Iowa",Iowa County, Iowa,143900,9167
"Jackson County, Iowa",Jackson County, Iowa,117000,4259
"Jasper County, Iowa",Jasper County, Iowa,122800,4425
"Jefferson County, Iowa",Jefferson County, Iowa,114300,8360
"Johnson County, Iowa",Johnson County, Iowa,210400,4974
"Jones County, Iowa",Jones County, Iowa,130700,8043
"Keokuk County, Iowa",Keokuk County, Iowa,83700,5618
"Kossuth County, Iowa",Kossuth County, Iowa,104300,6321
"Lee County, Iowa",Lee County, Iowa,90200,3458
"Linn County, Iowa",Linn County, Iowa,150600,2115
"Louisa County, Iowa",Louisa County, Iowa,104200,6759
"Lucas County, Iowa",Lucas County, Iowa,84900,4653
"Lyon County, Iowa",Lyon County, Iowa,125200,8948
"Madison County, Iowa",Madison County, Iowa,160400,6128
"Mahaska County, Iowa",Mahaska County, Iowa,110100,5585
"Marion County, Iowa",Marion County, Iowa,146900,6745
"Marshall County, Iowa",Marshall County, Iowa,104600,3839
"Mills County, Iowa",Mills County, Iowa,157000,5693
"Mitchell County, Iowa",Mitchell County, Iowa,112300,7794
"Monona County, Iowa",Monona County, Iowa,84300,5497
"Monroe County, Iowa",Monroe County, Iowa,99100,10206
"Montgomery County, Iowa",Montgomery County, Iowa,81800,4721
"Muscatine County, Iowa",Muscatine County, Iowa,128100,5455
"O'Brien County, Iowa",O'Brien County, Iowa,108000,6507
"Osceola County, Iowa",Osceola County, Iowa,89500,7011
"Page County, Iowa",Page County, Iowa,87600,4656
"Palo Alto County, Iowa",Palo Alto County, Iowa,98100,8387
"Plymouth County, Iowa",Plymouth County, Iowa,150200,6211
"Pocahontas County, Iowa",Pocahontas County, Iowa,73400,5291
"Polk County, Iowa",Polk County, Iowa,165500,1351
"Pottawattamie County, Iowa",Pottawattamie County, Iowa,133500,3142
"Poweshiek County, Iowa",Poweshiek County, Iowa,131100,9550
"Ringgold County, Iowa",Ringgold County, Iowa,79600,6325
"Sac County, Iowa",Sac County, Iowa,88100,4097
"Scott County, Iowa",Scott County, Iowa,153200,2598
"Shelby County, Iowa",Shelby County, Iowa,111700,5669
"Sioux County, Iowa",Sioux County, Iowa,153800,5489
"Story County, Iowa",Story County, Iowa,172900,3657
"Tama County, Iowa",Tama County, Iowa,105300,3713
"Taylor County, Iowa",Taylor County, Iowa,76100,5464
"Union County, Iowa",Union County, Iowa,94300,4817
"Van Buren County, Iowa",Van Buren County, Iowa,82700,6102
"Wapello County, Iowa",Wapello County, Iowa,81000,2843
"Warren County, Iowa",Warren County, Iowa,171400,3437
"Washington County, Iowa",Washington County, Iowa,140400,7888
"Wayne County, Iowa",Wayne County, Iowa,74700,5969
"Webster County, Iowa",Webster County, Iowa,95300,3355
"Winnebago County, Iowa",Winnebago County, Iowa,94400,4284
"Winneshiek County, Iowa",Winneshiek County, Iowa,161500,4206
"Woodbury County, Iowa",Woodbury County, Iowa,110700,2945
"Worth County, Iowa",Worth County, Iowa,98000,4990
"Wright County, Iowa",Wright County, Iowa,79200,4496
"Allen County, Kansas",Allen County, Kansas,78600,4164
"Anderson County, Kansas",Anderson County, Kansas,88200,7327
"Atchison County, Kansas",Atchison County, Kansas,92900,7788
"Barber County, Kansas",Barber County, Kansas,75600,7228
"Barton County, Kansas",Barton County, Kansas,87600,4021
"Bourbon County, Kansas",Bourbon County, Kansas,82600,4587
"Brown County, Kansas",Brown County, Kansas,83900,4600
"Butler County, Kansas",Butler County, Kansas,142400,4728
"Chase County, Kansas",Chase County, Kansas,85200,5665
"Chautauqua County, Kansas",Chautauqua County, Kansas,63300,6357
"Cherokee County, Kansas",Cherokee County, Kansas,78400,5164
"Cheyenne County, Kansas",Cheyenne County, Kansas,86600,5778
"Clark County, Kansas",Clark County, Kansas,76400,5538
"Clay County, Kansas",Clay County, Kansas,100200,12682
"Cloud County, Kansas",Cloud County, Kansas,73200,5517
"Coffey County, Kansas",Coffey County, Kansas,111000,7524
"Comanche County, Kansas",Comanche County, Kansas,73200,8047
"Cowley County, Kansas",Cowley County, Kansas,85700,2800
"Crawford County, Kansas",Crawford County, Kansas,87300,3210
"Decatur County, Kansas",Decatur County, Kansas,63400,6229
"Dickinson County, Kansas",Dickinson County, Kansas,110700,6010
"Doniphan County, Kansas",Doniphan County, Kansas,95300,8568
"Douglas County, Kansas",Douglas County, Kansas,188100,4149
"Edwards County, Kansas",Edwards County, Kansas,61200,4744
"Elk County, Kansas",Elk County, Kansas,48300,5513
"Ellis County, Kansas",Ellis County, Kansas,159400,5107
"Ellsworth County, Kansas",Ellsworth County, Kansas,88500,5139
"Finney County, Kansas",Finney County, Kansas,126200,6321
"Ford County, Kansas",Ford County, Kansas,108400,4725
"Franklin County, Kansas",Franklin County, Kansas,121700,3918
"Geary County, Kansas",Geary County, Kansas,141900,9233
"Gove County, Kansas",Gove County, Kansas,78900,3664
"Graham County, Kansas",Graham County, Kansas,69600,6453
"Grant County, Kansas",Grant County, Kansas,102800,9584
"Gray County, Kansas",Gray County, Kansas,117900,9991
"Greeley County, Kansas",Greeley County, Kansas,86100,11615
"Greenwood County, Kansas",Greenwood County, Kansas,61100,6402
"Hamilton County, Kansas",Hamilton County, Kansas,86800,7160
"Harper County, Kansas",Harper County, Kansas,66700,4889
"Harvey County, Kansas",Harvey County, Kansas,120200,5419
"Haskell County, Kansas",Haskell County, Kansas,102600,11534
"Hodgeman County, Kansas",Hodgeman County, Kansas,86700,5808
"Jackson County, Kansas",Jackson County, Kansas,128100,9307
"Jefferson County, Kansas",Jefferson County, Kansas,135800,5515
"Jewell County, Kansas",Jewell County, Kansas,53700,3856
"Johnson County, Kansas",Johnson County, Kansas,232500,1652
"Kearny County, Kansas",Kearny County, Kansas,98200,11161
"Kingman County, Kansas",Kingman County, Kansas,92200,7477
"Kiowa County, Kansas",Kiowa County, Kansas,133800,24423
"Labette County, Kansas",Labette County, Kansas,74900,3974
"Lane County, Kansas",Lane County, Kansas,76400,17484
"Leavenworth County, Kansas",Leavenworth County, Kansas,171000,5438
"Lincoln County, Kansas",Lincoln County, Kansas,68900,3972
"Linn County, Kansas",Linn County, Kansas,89400,7284
"Logan County, Kansas",Logan County, Kansas,83100,8055
"Lyon County, Kansas",Lyon County, Kansas,98500,5230
"McPherson County, Kansas",McPherson County, Kansas,140300,5089
"Marion County, Kansas",Marion County, Kansas,81300,4641
"Marshall County, Kansas",Marshall County, Kansas,93400,6259
"Meade County, Kansas",Meade County, Kansas,88700,8126
"Miami County, Kansas",Miami County, Kansas,181100,5620
"Mitchell County, Kansas",Mitchell County, Kansas,85700,6808
"Montgomery County, Kansas",Montgomery County, Kansas,74000,3366
"Morris County, Kansas",Morris County, Kansas,95100,8810
"Morton County, Kansas",Morton County, Kansas,97700,20383
"Nemaha County, Kansas",Nemaha County, Kansas,116500,7622
"Neosho County, Kansas",Neosho County, Kansas,77300,6924
"Ness County, Kansas",Ness County, Kansas,70500,5173
"Norton County, Kansas",Norton County, Kansas,73700,6291
"Osage County, Kansas",Osage County, Kansas,107200,5932
"Osborne County, Kansas",Osborne County, Kansas,61300,10125
"Ottawa County, Kansas",Ottawa County, Kansas,98600,7551
"Pawnee County, Kansas",Pawnee County, Kansas,75600,5612
"Phillips County, Kansas",Phillips County, Kansas,76900,4995
"Pottawatomie County, Kansas",Pottawatomie County, Kansas,169300,6814
"Pratt County, Kansas",Pratt County, Kansas,87600,5918
"Rawlins County, Kansas",Rawlins County, Kansas,81700,9063
"Reno County, Kansas",Reno County, Kansas,96600,2929
"Republic County, Kansas",Republic County, Kansas,60500,6837
"Rice County, Kansas",Rice County, Kansas,74800,5136
"Riley County, Kansas",Riley County, Kansas,189200,5032
"Rooks County, Kansas",Rooks County, Kansas,75400,6540
"Rush County, Kansas",Rush County, Kansas,69900,8762
"Russell County, Kansas",Russell County, Kansas,90100,6352
"Saline County, Kansas",Saline County, Kansas,125400,4762
"Scott County, Kansas",Scott County, Kansas,135900,14580
"Sedgwick County, Kansas",Sedgwick County, Kansas,130900,1286
"Seward County, Kansas",Seward County, Kansas,98500,8289
"Shawnee County, Kansas",Shawnee County, Kansas,127600,2121
"Sheridan County, Kansas",Sheridan County, Kansas,101000,8003
"Sherman County, Kansas",Sherman County, Kansas,86300,8669
"Smith County, Kansas",Smith County, Kansas,66200,4390
"Stafford County, Kansas",Stafford County, Kansas,61800,5704
"Stanton County, Kansas",Stanton County, Kansas,71900,18038
"Stevens County, Kansas",Stevens County, Kansas,110000,29967
"Sumner County, Kansas",Sumner County, Kansas,86800,3110
"Thomas County, Kansas",Thomas County, Kansas,114000,11257
"Trego County, Kansas",Trego County, Kansas,84400,8233
"Wabaunsee County, Kansas",Wabaunsee County, Kansas,111900,9513
"Wallace County, Kansas",Wallace County, Kansas,88300,9961
"Washington County, Kansas",Washington County, Kansas,75300,4350
"Wichita County, Kansas",Wichita County, Kansas,84000,12918
"Wilson County, Kansas",Wilson County, Kansas,66700,8458
"Woodson County, Kansas",Woodson County, Kansas,53200,8419
"Wyandotte County, Kansas",Wyandotte County, Kansas,92800,2081
"Adair County, Kentucky",Adair County, Kentucky,85900,5985
"Allen County, Kentucky",Allen County, Kentucky,102500,8214
"Anderson County, Kentucky",Anderson County, Kentucky,138600,5974
"Ballard County, Kentucky",Ballard County, Kentucky,102600,8718
"Barren County, Kentucky",Barren County, Kentucky,110400,5036
"Bath County, Kentucky",Bath County, Kentucky,77900,5716
"Bell County, Kentucky",Bell County, Kentucky,59400,4852
"Boone County, Kentucky",Boone County, Kentucky,183700,3085
"Bourbon County, Kentucky",Bourbon County, Kentucky,144900,7596
"Boyd County, Kentucky",Boyd County, Kentucky,103900,6048
"Boyle County, Kentucky",Boyle County, Kentucky,141100,6542
"Bracken County, Kentucky",Bracken County, Kentucky,102300,7904
"Breathitt County, Kentucky",Breathitt County, Kentucky,50000,5420
"Breckinridge County, Kentucky",Breckinridge County, Kentucky,95200,7726
"Bullitt County, Kentucky",Bullitt County, Kentucky,153100,3332
"Butler County, Kentucky",Butler County, Kentucky,90400,12872
"Caldwell County, Kentucky",Caldwell County, Kentucky,95300,8877
"Calloway County, Kentucky",Calloway County, Kentucky,130100,7066
"Campbell County, Kentucky",Campbell County, Kentucky,160700,2928
"Carlisle County, Kentucky",Carlisle County, Kentucky,89200,10660
"Carroll County, Kentucky",Carroll County, Kentucky,103800,13453
"Carter County, Kentucky",Carter County, Kentucky,83300,4397
"Casey County, Kentucky",Casey County, Kentucky,77600,5475
"Christian County, Kentucky",Christian County, Kentucky,112200,4520
"Clark County, Kentucky",Clark County, Kentucky,139200,4782
"Clay County, Kentucky",Clay County, Kentucky,55600,4445
"Clinton County, Kentucky",Clinton County, Kentucky,66100,7164
"Crittenden County, Kentucky",Crittenden County, Kentucky,84600,7822
"Cumberland County, Kentucky",Cumberland County, Kentucky,90300,11764
"Daviess County, Kentucky",Daviess County, Kentucky,123200,3054
"Edmonson County, Kentucky",Edmonson County, Kentucky,87100,7373
"Elliott County, Kentucky",Elliott County, Kentucky,72700,6896
"Estill County, Kentucky",Estill County, Kentucky,71000,6316
"Fayette County, Kentucky",Fayette County, Kentucky,175000,2348
"Fleming County, Kentucky",Fleming County, Kentucky,89900,8450
"Floyd County, Kentucky",Floyd County, Kentucky,72900,4465
"Franklin County, Kentucky",Franklin County, Kentucky,139300,3118
"Fulton County, Kentucky",Fulton County, Kentucky,63600,6049
"Gallatin County, Kentucky",Gallatin County, Kentucky,109900,10241
"Garrard County, Kentucky",Garrard County, Kentucky,131000,10512
"Grant County, Kentucky",Grant County, Kentucky,119700,7819
"Graves County, Kentucky",Graves County, Kentucky,95600,4244
"Grayson County, Kentucky",Grayson County, Kentucky,102200,5642
"Green County, Kentucky",Green County, Kentucky,75800,3936
"Greenup County, Kentucky",Greenup County, Kentucky,103300,5566
"Hancock County, Kentucky",Hancock County, Kentucky,109100,6815
"Hardin County, Kentucky",Hardin County, Kentucky,148000,3897
"Harlan County, Kentucky",Harlan County, Kentucky,53500,3232
"Harrison County, Kentucky",Harrison County, Kentucky,132900,8176
"Hart County, Kentucky",Hart County, Kentucky,90200,5738
"Henderson County, Kentucky",Henderson County, Kentucky,118000,5177
"Henry County, Kentucky",Henry County, Kentucky,126100,8112
"Hickman County, Kentucky",Hickman County, Kentucky,70200,7324
"Hopkins County, Kentucky",Hopkins County, Kentucky,96600,5548
"Jackson County, Kentucky",Jackson County, Kentucky,69900,8864
"Jefferson County, Kentucky",Jefferson County, Kentucky,159000,1157
"Jessamine County, Kentucky",Jessamine County, Kentucky,164300,5076
"Johnson County, Kentucky",Johnson County, Kentucky,90300,6883
"Kenton County, Kentucky",Kenton County, Kentucky,149700,2582
"Knott County, Kentucky",Knott County, Kentucky,52000,4929
"Knox County, Kentucky",Knox County, Kentucky,76900,4725
"Larue County, Kentucky",Larue County, Kentucky,107300,7975
"Laurel County, Kentucky",Laurel County, Kentucky,102000,4539
"Lawrence County, Kentucky",Lawrence County, Kentucky,80400,8014
"Lee County, Kentucky",Lee County, Kentucky,64200,5416
"Leslie County, Kentucky",Leslie County, Kentucky,48900,5169
"Letcher County, Kentucky",Letcher County, Kentucky,58500,3434
"Lewis County, Kentucky",Lewis County, Kentucky,68300,8016
"Lincoln County, Kentucky",Lincoln County, Kentucky,96100,7739
"Livingston County, Kentucky",Livingston County, Kentucky,90800,9906
"Logan County, Kentucky",Logan County, Kentucky,105400,5274
"Lyon County, Kentucky",Lyon County, Kentucky,122900,20919
"McCracken County, Kentucky",McCracken County, Kentucky,134100,5209
"McCreary County, Kentucky",McCreary County, Kentucky,61300,6368
"McLean County, Kentucky",McLean County, Kentucky,96800,8073
"Madison County, Kentucky",Madison County, Kentucky,151000,3551
"Magoffin County, Kentucky",Magoffin County, Kentucky,63300,11701
"Marion County, Kentucky",Marion County, Kentucky,100400,6305
"Marshall County, Kentucky",Marshall County, Kentucky,118100,6072
"Martin County, Kentucky",Martin County, Kentucky,65500,9729
"Mason County, Kentucky",Mason County, Kentucky,111200,7460
"Meade County, Kentucky",Meade County, Kentucky,140800,8818
"Menifee County, Kentucky",Menifee County, Kentucky,77800,4658
"Mercer County, Kentucky",Mercer County, Kentucky,139900,7203
"Metcalfe County, Kentucky",Metcalfe County, Kentucky,75200,4119
"Monroe County, Kentucky",Monroe County, Kentucky,74500,4839
"Montgomery County, Kentucky",Montgomery County, Kentucky,118200,5098
"Morgan County, Kentucky",Morgan County, Kentucky,77500,4472
"Muhlenberg County, Kentucky",Muhlenberg County, Kentucky,82000,5058
"Nelson County, Kentucky",Nelson County, Kentucky,144800,5053
"Nicholas County, Kentucky",Nicholas County, Kentucky,82100,7415
"Ohio County, Kentucky",Ohio County, Kentucky,88300,4130
"Oldham County, Kentucky",Oldham County, Kentucky,259700,6029
"Owen County, Kentucky",Owen County, Kentucky,99100,7712
"Owsley County, Kentucky",Owsley County, Kentucky,70000,17050
"Pendleton County, Kentucky",Pendleton County, Kentucky,106400,8013
"Perry County, Kentucky",Perry County, Kentucky,73300,4062
"Pike County, Kentucky",Pike County, Kentucky,75400,2815
"Powell County, Kentucky",Powell County, Kentucky,79800,8972
"Pulaski County, Kentucky",Pulaski County, Kentucky,109100,4968
"Robertson County, Kentucky",Robertson County, Kentucky,94500,11289
"Rockcastle County, Kentucky",Rockcastle County, Kentucky,80800,5585
"Rowan County, Kentucky",Rowan County, Kentucky,121100,12239
"Russell County, Kentucky",Russell County, Kentucky,87300,5193
"Scott County, Kentucky",Scott County, Kentucky,170800,4175
"Shelby County, Kentucky",Shelby County, Kentucky,184900,11137
"Simpson County, Kentucky",Simpson County, Kentucky,130500,8497
"Spencer County, Kentucky",Spencer County, Kentucky,190900,9065
"Taylor County, Kentucky",Taylor County, Kentucky,106700,7645
"Todd County, Kentucky",Todd County, Kentucky,94800,12080
"Trigg County, Kentucky",Trigg County, Kentucky,119500,8756
"Trimble County, Kentucky",Trimble County, Kentucky,110500,11335
"Union County, Kentucky",Union County, Kentucky,83100,7204
"Warren County, Kentucky",Warren County, Kentucky,152300,3138
"Washington County, Kentucky",Washington County, Kentucky,105600,6782
"Wayne County, Kentucky",Wayne County, Kentucky,81400,5274
"Webster County, Kentucky",Webster County, Kentucky,80800,5164
"Whitley County, Kentucky",Whitley County, Kentucky,83800,4882
"Wolfe County, Kentucky",Wolfe County, Kentucky,65700,7234
"Woodford County, Kentucky",Woodford County, Kentucky,188200,6429
"Acadia Parish, Louisiana",Acadia Parish, Louisiana,97500,5401
"Allen Parish, Louisiana",Allen Parish, Louisiana,84800,5608
"Ascension Parish, Louisiana",Ascension Parish, Louisiana,179800,5681
"Assumption Parish, Louisiana",Assumption Parish, Louisiana,114600,7402
"Avoyelles Parish, Louisiana",Avoyelles Parish, Louisiana,90600,5326
"Beauregard Parish, Louisiana",Beauregard Parish, Louisiana,115200,8719
"Bienville Parish, Louisiana",Bienville Parish, Louisiana,76000,4277
"Bossier Parish, Louisiana",Bossier Parish, Louisiana,164600,4301
"Caddo Parish, Louisiana",Caddo Parish, Louisiana,138200,4452
"Calcasieu Parish, Louisiana",Calcasieu Parish, Louisiana,138100,4141
"Caldwell Parish, Louisiana",Caldwell Parish, Louisiana,67800,10566
"Cameron Parish, Louisiana",Cameron Parish, Louisiana,110900,12999
"Catahoula Parish, Louisiana",Catahoula Parish, Louisiana,78700,6911
"Claiborne Parish, Louisiana",Claiborne Parish, Louisiana,74100,7573
"Concordia Parish, Louisiana",Concordia Parish, Louisiana,78500,8949
"De Soto Parish, Louisiana",De Soto Parish, Louisiana,110000,9061
"East Baton Rouge Parish, Louisiana",East Baton Rouge Parish, Louisiana,177800,2773
"East Carroll Parish, Louisiana",East Carroll Parish, Louisiana,68200,17374
"East Feliciana Parish, Louisiana",East Feliciana Parish, Louisiana,124100,10867
"Evangeline Parish, Louisiana",Evangeline Parish, Louisiana,90000,8001
"Franklin Parish, Louisiana",Franklin Parish, Louisiana,83200,5558
"Grant Parish, Louisiana",Grant Parish, Louisiana,93600,9541
"Iberia Parish, Louisiana",Iberia Parish, Louisiana,106700,4685
"Iberville Parish, Louisiana",Iberville Parish, Louisiana,127500,12584
"Jackson Parish, Louisiana",Jackson Parish, Louisiana,84400,8314
"Jefferson Parish, Louisiana",Jefferson Parish, Louisiana,176000,2008
"Jefferson Davis Parish, Louisiana",Jefferson Davis Parish, Louisiana,101800,6834
"Lafayette Parish, Louisiana",Lafayette Parish, Louisiana,172500,2707
"Lafourche Parish, Louisiana",Lafourche Parish, Louisiana,144300,5449
"LaSalle Parish, Louisiana",LaSalle Parish, Louisiana,76700,15109
"Lincoln Parish, Louisiana",Lincoln Parish, Louisiana,145900,11503
"Livingston Parish, Louisiana",Livingston Parish, Louisiana,155800,3176
"Madison Parish, Louisiana",Madison Parish, Louisiana,64100,5841
"Morehouse Parish, Louisiana",Morehouse Parish, Louisiana,84900,5068
"Natchitoches Parish, Louisiana",Natchitoches Parish, Louisiana,114100,8740
"Orleans Parish, Louisiana",Orleans Parish, Louisiana,205000,3794
"Ouachita Parish, Louisiana",Ouachita Parish, Louisiana,133400,4518
"Plaquemines Parish, Louisiana",Plaquemines Parish, Louisiana,165900,13002
"Pointe Coupee Parish, Louisiana",Pointe Coupee Parish, Louisiana,124500,15407
"Rapides Parish, Louisiana",Rapides Parish, Louisiana,133800,4293
"Red River Parish, Louisiana",Red River Parish, Louisiana,85900,4032
"Richland Parish, Louisiana",Richland Parish, Louisiana,86900,6823
"Sabine Parish, Louisiana",Sabine Parish, Louisiana,84200,7342
"St. Bernard Parish, Louisiana",St. Bernard Parish, Louisiana,139200,3566
"St. Charles Parish, Louisiana",St. Charles Parish, Louisiana,185800,6037
"St. Helena Parish, Louisiana",St. Helena Parish, Louisiana,77400,11952
"St. James Parish, Louisiana",St. James Parish, Louisiana,136400,11573
"St. John the Baptist Parish, Louisiana",St. John the Baptist Parish, Louisiana,152800,5293
"St. Landry Parish, Louisiana",St. Landry Parish, Louisiana,99200,2856
"St. Martin Parish, Louisiana",St. Martin Parish, Louisiana,114200,7742
"St. Mary Parish, Louisiana",St. Mary Parish, Louisiana,97000,6236
"St. Tammany Parish, Louisiana",St. Tammany Parish, Louisiana,206600,3549
"Tangipahoa Parish, Louisiana",Tangipahoa Parish, Louisiana,149300,6565
"Tensas Parish, Louisiana",Tensas Parish, Louisiana,62200,8158
"Terrebonne Parish, Louisiana",Terrebonne Parish, Louisiana,143700,5635
"Union Parish, Louisiana",Union Parish, Louisiana,88700,9228
"Vermilion Parish, Louisiana",Vermilion Parish, Louisiana,105700,6823
"Vernon Parish, Louisiana",Vernon Parish, Louisiana,116600,7423
"Washington Parish, Louisiana",Washington Parish, Louisiana,84600,3846
"Webster Parish, Louisiana",Webster Parish, Louisiana,81600,3000
"West Baton Rouge Parish, Louisiana",West Baton Rouge Parish, Louisiana,177000,12467
"West Carroll Parish, Louisiana",West Carroll Parish, Louisiana,79400,6965
"West Feliciana Parish, Louisiana",West Feliciana Parish, Louisiana,209600,25094
"Winn Parish, Louisiana",Winn Parish, Louisiana,72700,5443
"Androscoggin County, Maine",Androscoggin County, Maine,152000,3087
"Aroostook County, Maine",Aroostook County, Maine,97000,2577
"Cumberland County, Maine",Cumberland County, Maine,259400,3089
